code,name,credits,subjectGroup,tags
347-203,สถิติพื้นฐานสำหรับธุรกิจและการประยุกต์ใช้,3,วิชาแกนธุรกิจ,2563
460-101,หลักการตลาด,3,วิชาแกนธุรกิจ,2563|2567
460-102,การจัดการทรัพยากรมนุษย์,3,วิชาแกนธุรกิจ,2563
460-102,หลักการจัดการและจิตวิทยา,3,วิชาแกนธุรกิจ,2567
460-103,หลักการเงิน,3,วิชาแกนธุรกิจ,2563|2567
460-104,การจัดการการผลิตและการดำเนินงาน,3,วิชาแกนธุรกิจ,2563|2567
460-105,การจัดการทรัพยากรมนุษย์,3,วิชาแกนธุรกิจ,2567
460-201,ทักษะการติดต่อสื่อสารทางธุรกิจ,2,วิชาแกนธุรกิจ,2563
460-201,ความคิดแบบเติบโตเพื่อทักษะการสื่อสารทางธุรกิจ,2,วิชาแกนธุรกิจ,2567
460-202,ชุดวิชาดิจิทัล นวัตกรรม และความเป็นผู้ประกอบการ,7,วิชาแกนธุรกิจ,2563
460-202,ธุรกิจอัจฉริยะและการวิเคราะห์ข้อมูลเชิงธุรกิจ,3,วิชาแกนธุรกิจ,2567
460-301,ธุรกิจอัจฉริยะและการวิเคราะห์ข้อมูลเชิงธุรกิจ,3,วิชาแกนธุรกิจ,2563
460-301,กฎหมายและจริยธรรมทางธุรกิจ,3,วิชาแกนธุรกิจ,2567
460-302,สถิติสำหรับการวิจัยทางธุรกิจ,3,วิชาแกนธุรกิจ,2567
460-303,ชุดวิชาความเป็นผู้ประกอบการ นวัตกรรม และการเปลี่ยนผ่านสู่ดิจิทัล,4,วิชาแกนธุรกิจ,2567
460-401,การจัดการเชิงกลยุทธ์,3,วิชาแกนธุรกิจ,2563|2567
460-402,เตรียมสหกิจ,0,วิชาแกนธุรกิจ,2567
460-403,สหกิจศึกษา,6,วิชาแกนธุรกิจ,2567
464-101,การบัญชีการเงินเบื้องต้น,3,วิชาแกนธุรกิจ,2563|2567
464-201,การบัญชีบริหารเพื่อการจัดการธุรกิจ,3,การเงิน,2567
464-301,บัญชีเพื่อการจัดการทางธุรกิจ,3,การเงิน,2563
464-301,การภาษีอากร,3,วิชาแกนธุรกิจ,2567
473-200,การบริหารการเงิน,3,การเงิน,2563
473-200,ชุดวิชาการบริหารและการวิเคราะห์การเงิน,5,การเงิน,2567
473-201,หลักการวางแผนการเงินส่วนบุคคลและภาษี,3,การเงิน,2563|2567
473-202,สถาบันการเงินและตลาดการเงิน,3,การเงิน,2563|2567
473-300,ชุดวิชาการลงทุนในหุ้นสามัญเพื่อการสร้างความมั่งคั่ง,5,การเงิน,2563
473-300,ชุดวิชาการลงทุนในตราสารทุนและกองทุนรวม,5,การเงิน,2567
473-301,แบบจำลองทางการเงิน,3,การเงิน,2563
473-301,จรรยาบรรณและมาตรฐานในการประกอบวิชาชีพทางด้านการเงิน,2,การเงิน,2567
473-302,การบริหารความเสี่ยงทางการเงิน,3,การเงิน,2563
473-302,ชุดวิชาบริหารความเสี่ยงทางการเงินและตราสารอนุพันธ์,5,การเงิน,2567
473-303,การวิจัยทางการเงิน 1,2,การเงิน,2563|2567
473-304,การฝึกงานทางการเงิน,0,การเงิน,2563|2567
473-305,ชุดวิชาการวางแผนการประกันภัย,5,การเงิน,2563
473-305,แบบจำลองทางการเงิน,3,การเงิน,2567
