code,name,credits,categoryName,tags
890-101G1,สรรสาระภาษาอังกฤษ,2,GE 1 ภาษาและการสื่อสาร,2567
890-102G1,ภาษาอังกฤษในชีวิตประจำวัน,2,GE 1 ภาษาและการสื่อสาร,2567
890-103G1,ภาษาอังกฤษพร้อมใช้,2,GE 1 ภาษาและการสื่อสาร,2567
890-104G1,ภาษาอังกฤษยุคดิจิทัล,2,GE 1 ภาษาและการสื่อสาร,2567
890-105G1,ภาษาอังกฤษเชิงวิชาการ,2,GE 1 ภาษาและการสื่อสาร,2567
142-006G1,ภาษาอังกฤษเชิงวิชาการฟังและพูด,2,GE 1 ภาษาและการสื่อสาร,2567
142-007G1,ภาษาอังกฤษเชิงวิชาการอ่านและเขียน,2,GE 1 ภาษาและการสื่อสาร,2567
895-211G2A,การคิดกับพฤติกรรมพยากรณ์,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
315-100G2A,คำนวณศิลป์,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
322-100G2A,รวยด้วยคณิตศาสตร์,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
473-001G2A,เงินทองต้องรอบรู้,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
473-002G2A,การอ่านงบการเงินเพื่อ การลงทุน,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
142-010G2A,คิดไปข้างหน้า,2,GE 2 การพัฒนาการคิดเชิงตรรกะและตัวเลข,2567
895-221G2B,การคิดกับการแก้ปัญหาเชิงระบบ,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
895-222G2B,การคิดเชิงวิพากษ์,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
895-223G2B,คิดสร้างสุข,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
895-224G2B,ตรรกะในชีวิตประจำวัน,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
895-225G2B,เท่าทันสถานการณ์โลก,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
315-202G2B,การคิดกับการใช้เหตุผล,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
200-108G2B,โมบาและการพัฒนากลยุทธ์,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
142-009G2B,การแก้ปัญหาแบบสร้างสรรค์,2,GE 2 การพัฒนาการคิดเชิงระบบ,2567
895-301G3,ก้าวแรกสู่ความเป็นผู้ประกอบการ,2,GE 3 การคิดแบบผู้ประกอบการ,2567
895-302G3,จุดประกายความคิดผ่านแนวคิดผู้ประกอบการ,2,GE 3 การคิดแบบผู้ประกอบการ,2567
460-001G3,แนวคิดและทักษะความเป็นผู้ประกอบการ,2,GE 3 การคิดแบบผู้ประกอบการ,2567
142-026G3,การเป็นผู้ประกอบการ,2,GE 3 การคิดแบบผู้ประกอบการ,2567
315-104G4,รู้ทันเทคโนโลยีดิจิทัล,2,GE 4 การใช้เทคโนโลยีดิจิทัล,2567
